;Feature;Importance
462;ultima_review_2016-02-29;0.0
463;ultima_review_2016-03-11;0.0
464;ultima_review_2016-03-15;0.0
465;ultima_review_2016-03-18;0.0
466;ultima_review_2016-03-19;0.0
467;ultima_review_2016-03-27;0.0
468;ultima_review_2016-03-28;0.0
469;ultima_review_2016-04-01;0.0
470;ultima_review_2016-04-02;0.0
471;ultima_review_2016-04-04;0.0
472;ultima_review_2016-04-17;0.0
473;ultima_review_2016-04-20;0.0
474;ultima_review_2016-04-21;0.0
475;ultima_review_2016-05-01;0.0
476;ultima_review_2016-05-02;0.0
477;ultima_review_2016-05-03;0.0
478;ultima_review_2016-05-04;0.0
479;ultima_review_2016-05-06;0.0
480;ultima_review_2016-05-07;0.0
481;ultima_review_2016-05-09;0.0
482;ultima_review_2016-05-11;0.0
483;ultima_review_2016-05-12;0.0
484;ultima_review_2016-05-14;0.0
485;ultima_review_2016-05-15;0.0
486;ultima_review_2016-05-16;0.0
487;ultima_review_2016-05-17;0.0
488;ultima_review_2016-05-18;0.0
489;ultima_review_2016-05-19;0.0
490;ultima_review_2016-05-21;0.0
491;ultima_review_2016-05-22;0.0
492;ultima_review_2016-05-24;0.0
493;ultima_review_2016-05-25;0.0
494;ultima_review_2016-05-27;0.0
495;ultima_review_2016-05-28;0.0
496;ultima_review_2016-05-29;0.0
497;ultima_review_2016-06-02;0.0
498;ultima_review_2016-06-05;0.0
499;ultima_review_2016-06-06;0.0
500;ultima_review_2016-06-08;0.0
501;ultima_review_2016-06-10;0.0
502;ultima_review_2016-06-11;0.0
503;ultima_review_2016-06-12;0.0
504;ultima_review_2016-06-13;0.0
505;ultima_review_2016-06-14;0.0
506;ultima_review_2016-06-15;0.0
507;ultima_review_2016-06-17;0.0
508;ultima_review_2016-06-20;0.0
509;ultima_review_2016-06-23;0.0
510;ultima_review_2016-06-24;0.0
511;ultima_review_2016-06-27;0.0
512;ultima_review_2016-06-28;0.0
513;ultima_review_2016-06-29;0.0
514;ultima_review_2016-06-30;0.0
515;ultima_review_2016-07-01;0.0
516;ultima_review_2016-07-02;0.0
517;ultima_review_2016-07-03;0.0
518;ultima_review_2016-07-04;0.0
519;ultima_review_2016-07-05;0.0
520;ultima_review_2016-07-06;0.0
521;ultima_review_2016-07-08;0.0
522;ultima_review_2016-07-09;0.0
523;ultima_review_2016-07-12;0.0
524;ultima_review_2016-07-15;0.0
525;ultima_review_2016-07-16;0.0
526;ultima_review_2016-07-17;0.0
527;ultima_review_2016-07-18;0.0
